key	query	seed_ortholog	evalue	score	eggNOG_OGs	description	preferred_name	GOs	KEGG_ko	KEGG_pathway	brite	PFAMs
2423	KII11229.1	388739.RSK20926_01247	1.65e-77	234.0	2C10Z@1|root,32UBU@2|Bacteria,1N4XP@1224|Proteobacteria,2UIIU@28211|Alphaproteobacteria	LexA-binding, inner membrane-associated putative hydrolase	-	-	ko:K07038	-	ko00000	YdjM
2423	KII11233.1	639283.Snov_2653	7.38e-16	76.3	COG0732@1|root,COG0732@2|Bacteria,1RKBT@1224|Proteobacteria,2U8T7@28211|Alphaproteobacteria	type I restriction modification DNA specificity domain	-	-	-	-	-	-
2423	KII11236.1	83219.PM02_19085	3.22e-44	153.0	COG3177@1|root,COG3177@2|Bacteria,1NB0K@1224|Proteobacteria,2TTTS@28211|Alphaproteobacteria,3ZVZJ@60136|Sulfitobacter	Fic/DOC family	-	-	-	-	-	Fic
2423	KII11240.1	1423144.Gal_02264	3.98e-88	276.0	28JKJ@1|root,2Z9DD@2|Bacteria,1MUN2@1224|Proteobacteria,2TST4@28211|Alphaproteobacteria	Phage P22-like portal protein	-	-	-	-	-	P22_portal
2423	KII11246.1	1354722.JQLS01000004_gene4498	2.84e-30	113.0	COG0741@1|root,COG0741@2|Bacteria,1MZ4X@1224|Proteobacteria,2U2BX@28211|Alphaproteobacteria,46P7B@74030|Roseovarius	COG0741 Soluble lytic murein transglycosylase and related regulatory proteins (some contain LysM invasin domains)	-	-	-	-	-	SLT
2423	KII11250.1	1123059.KB823012_gene2135	1.3e-40	149.0	COG2217@1|root,COG2217@2|Bacteria,1MU08@1224|Proteobacteria,2TR56@28211|Alphaproteobacteria,43XB7@69657|Hyphomonadaceae	COG2217 Cation transport ATPase	-	-	ko:K01534	-	ko00000,ko01000	E1-E2_ATPase,Hydrolase
2423	KII11305.1	571166.KI421509_gene2367	1.74e-55	186.0	COG0286@1|root,COG0286@2|Bacteria,1MW3A@1224|Proteobacteria,2TQQA@28211|Alphaproteobacteria	Type I restriction-modification system methyltransferase subunit	hsdM	-	ko:K03427	-	ko00000,ko01000,ko02048	HsdM_N,N6_Mtase
2423	KII11308.1	316407.1736552	3.66e-62	198.0	COG3039@1|root,COG3039@2|Bacteria,1MVDK@1224|Proteobacteria,1RR0T@1236|Gammaproteobacteria	COG3039 Transposase and inactivated derivatives IS5 family	-	GO:0003674,GO:0003824,GO:0004803,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006310,GO:0006313,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0019219,GO:0019222,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032196,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0045893,GO:0045935,GO:0046483,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0140097,GO:1901360,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2001141	ko:K07481	-	ko00000	DDE_Tnp_1,DUF772
2423	KII11309.1	316407.85677029	5.64e-54	177.0	COG0609@1|root,COG0609@2|Bacteria,1MV9W@1224|Proteobacteria,1RR9X@1236|Gammaproteobacteria,3XRJS@561|Escherichia	Part of the binding-protein-dependent transport system for citrate-dependent Fe(3 ). Probably responsible for the translocation of the substrate across the membrane	fecD	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008150,GO:0015603,GO:0015688,GO:0016020,GO:0022857,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944,GO:1901678	ko:K02015	ko02010,map02010	ko00000,ko00001,ko00002,ko02000	FecCD
2423	KII11327.1	571166.KI421509_gene2367	1.32e-19	86.7	COG0286@1|root,COG0286@2|Bacteria,1MW3A@1224|Proteobacteria,2TQQA@28211|Alphaproteobacteria	Type I restriction-modification system methyltransferase subunit	hsdM	-	ko:K03427	-	ko00000,ko01000,ko02048	HsdM_N,N6_Mtase
