key	query	seed_ortholog	evalue	score	eggNOG_OGs	description	preferred_name	GOs	KEGG_ko	KEGG_pathway	brite	PFAMs
2148	GGP00145.1	479432.Sros_3286	1.67e-86	288.0	COG1520@1|root,COG1520@2|Bacteria,2GNI5@201174|Actinobacteria,4EPTT@85012|Streptosporangiales	PQQ-like domain	-	-	-	-	-	PQQ_2
2148	GGP00148.1	1122611.KB903963_gene4893	1.89e-83	248.0	COG1522@1|root,COG1522@2|Bacteria,2IJVM@201174|Actinobacteria,4ENSG@85012|Streptosporangiales	helix_turn_helix ASNC type	-	-	-	-	-	AsnC_trans_reg,HTH_AsnC-type
2148	GGP00151.1	1122611.KB903963_gene4892	3.44e-187	523.0	COG3186@1|root,COG3186@2|Bacteria,2GKCB@201174|Actinobacteria,4EIH7@85012|Streptosporangiales	Biopterin-dependent aromatic amino acid hydroxylase	phhA	-	ko:K00500	ko00360,ko00400,ko00790,ko01100,ko01230,map00360,map00400,map00790,map01100,map01230	ko00000,ko00001,ko01000	Biopterin_H
2148	GGP00154.1	1122611.KB903963_gene4891	3.32e-111	330.0	COG2367@1|root,COG2367@2|Bacteria,2GKPU@201174|Actinobacteria,4EIZ5@85012|Streptosporangiales	Beta-lactamase enzyme family	-	-	-	-	-	Beta-lactamase2
2148	GGP00157.1	1122611.KB903963_gene4885	1.07e-77	234.0	COG0394@1|root,COG0394@2|Bacteria,2IM0Q@201174|Actinobacteria,4EK5I@85012|Streptosporangiales	Low molecular weight phosphatase family	ptpA	GO:0003674,GO:0003824,GO:0004721,GO:0004725,GO:0005575,GO:0005576,GO:0005623,GO:0005886,GO:0006464,GO:0006470,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009405,GO:0009605,GO:0009607,GO:0009987,GO:0016020,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019538,GO:0035335,GO:0035821,GO:0036211,GO:0042578,GO:0043170,GO:0043207,GO:0043412,GO:0044003,GO:0044046,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044403,GO:0044419,GO:0044464,GO:0050896,GO:0051701,GO:0051704,GO:0051707,GO:0051817,GO:0052031,GO:0052046,GO:0052047,GO:0052048,GO:0052083,GO:0052155,GO:0052173,GO:0052200,GO:0052212,GO:0052255,GO:0052278,GO:0052294,GO:0052552,GO:0052553,GO:0052561,GO:0052562,GO:0052564,GO:0052572,GO:0071704,GO:0071944,GO:0075136,GO:0140096,GO:1901564	ko:K01104	-	ko00000,ko01000	LMWPc
2148	GGP00160.1	1122611.KB903963_gene4884	2e-131	378.0	COG3001@1|root,COG3001@2|Bacteria,2GW7W@201174|Actinobacteria,4EIV0@85012|Streptosporangiales	Fructosamine kinase	-	-	-	-	-	Fructosamin_kin
2148	GGP00163.1	1122611.KB903963_gene4883	1.52e-166	468.0	COG0483@1|root,COG0483@2|Bacteria,2GKZZ@201174|Actinobacteria,4EG4P@85012|Streptosporangiales	Inositol monophosphatase family	hisN	GO:0000105,GO:0003674,GO:0003824,GO:0004401,GO:0006082,GO:0006520,GO:0006547,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009987,GO:0016053,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0018130,GO:0019438,GO:0019752,GO:0034641,GO:0042578,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0046394,GO:0046483,GO:0052803,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	ko:K01092,ko:K05602	ko00340,ko00521,ko00562,ko01100,ko01110,ko01230,ko04070,map00340,map00521,map00562,map01100,map01110,map01230,map04070	ko00000,ko00001,ko00002,ko01000	Inositol_P
2148	GGP00169.1	1122611.KB903963_gene4882	1.79e-61	192.0	COG2050@1|root,COG2050@2|Bacteria,2IFBJ@201174|Actinobacteria,4EJF8@85012|Streptosporangiales	Domain of unknown function (DUF4442)	-	-	-	-	-	DUF4442
2148	GGP00172.1	1122611.KB903963_gene4881	6.16e-190	532.0	COG1162@1|root,COG1162@2|Bacteria,2GJ37@201174|Actinobacteria,4EFIE@85012|Streptosporangiales	One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Helps release RbfA from mature subunits. May play a role in the assembly of ribosomal proteins into the subunit. Circularly permuted GTPase that catalyzes slow GTP hydrolysis, GTPase activity is stimulated by the 30S ribosomal subunit	rsgA	-	ko:K06949	ko00730,ko01100,map00730,map01100	ko00000,ko00001,ko01000,ko03009	RsgA_GTPase
2148	GGP00174.1	1122611.KB903963_gene4880	2.12e-245	681.0	COG0128@1|root,COG0128@2|Bacteria,2GJKX@201174|Actinobacteria,4EHSM@85012|Streptosporangiales	Catalyzes the transfer of the enolpyruvyl moiety of phosphoenolpyruvate (PEP) to the 5-hydroxyl of shikimate-3- phosphate (S3P) to produce enolpyruvyl shikimate-3-phosphate and inorganic phosphate	aroA	GO:0003674,GO:0003824,GO:0003866,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006082,GO:0008150,GO:0008152,GO:0009058,GO:0009423,GO:0009987,GO:0016020,GO:0016053,GO:0016740,GO:0016765,GO:0019752,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046417,GO:0071704,GO:0071944,GO:1901576	ko:K00800	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	ko00000,ko00001,ko00002,ko01000	EPSP_synthase
2148	GGP00176.1	1122611.KB903963_gene4879	5.61e-144	409.0	COG2135@1|root,COG2135@2|Bacteria,2GKY8@201174|Actinobacteria,4EH5H@85012|Streptosporangiales	SOS response associated peptidase (SRAP)	-	-	-	-	-	SRAP
2148	GGP00179.1	1122611.KB903963_gene4878	2.78e-57	179.0	COG1734@1|root,COG1734@2|Bacteria,2IQS3@201174|Actinobacteria,4EKK5@85012|Streptosporangiales	Prokaryotic dksA/traR C4-type zinc finger	-	-	-	-	-	zf-dskA_traR
2148	GGP00181.1	1122611.KB903963_gene4877	5.67e-155	437.0	COG0500@1|root,COG2226@2|Bacteria,2ICG1@201174|Actinobacteria,4EIBP@85012|Streptosporangiales	Methyltransferase domain	-	-	-	-	-	Methyltransf_11,Methyltransf_23
2148	GGP00183.1	2002.JOEQ01000048_gene7437	1.17e-141	403.0	COG1595@1|root,COG1595@2|Bacteria,2GJ02@201174|Actinobacteria,4EHPQ@85012|Streptosporangiales	Sigma-70, region 4	sigH	GO:0005575,GO:0005618,GO:0005623,GO:0006355,GO:0006950,GO:0006979,GO:0008150,GO:0009266,GO:0009408,GO:0009628,GO:0009889,GO:0009987,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0030312,GO:0031323,GO:0031326,GO:0033554,GO:0034605,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051252,GO:0051409,GO:0051716,GO:0060255,GO:0065007,GO:0071944,GO:0080090,GO:1903506,GO:2000112,GO:2001141	ko:K03088	-	ko00000,ko03021	Sigma70_r2,Sigma70_r4_2
2148	GGP00185.1	1122611.KB903963_gene4875	5.91e-51	161.0	COG5662@1|root,COG5662@2|Bacteria,2IM2X@201174|Actinobacteria,4EKIJ@85012|Streptosporangiales	Putative zinc-finger	rsrA	GO:0000988,GO:0000989,GO:0003674,GO:0005488,GO:0006950,GO:0006979,GO:0008150,GO:0008270,GO:0009266,GO:0009408,GO:0009593,GO:0009628,GO:0009889,GO:0010556,GO:0016989,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0032502,GO:0042221,GO:0043167,GO:0043169,GO:0043934,GO:0046872,GO:0046914,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051252,GO:0051606,GO:0051775,GO:0051776,GO:0060255,GO:0065007,GO:0080090,GO:0140110,GO:1903506,GO:2001141	-	-	-	zf-HC2
2148	GGP00188.1	1122611.KB903963_gene4874	8.57e-179	503.0	COG0451@1|root,COG0451@2|Bacteria,2I2UT@201174|Actinobacteria,4EG43@85012|Streptosporangiales	GDP-mannose 4,6 dehydratase	galE1	GO:0005575,GO:0005623,GO:0005886,GO:0008150,GO:0016020,GO:0040007,GO:0044464,GO:0071944	ko:K01710,ko:K01784	ko00052,ko00520,ko00521,ko00523,ko00525,ko01055,ko01100,ko01130,map00052,map00520,map00521,map00523,map00525,map01055,map01100,map01130	ko00000,ko00001,ko00002,ko01000	Epimerase,GDP_Man_Dehyd
2148	GGP00191.1	1122611.KB903963_gene4873	6.67e-275	758.0	COG2206@1|root,COG2206@2|Bacteria,2GJS8@201174|Actinobacteria,4EHJI@85012|Streptosporangiales	HD domain	-	-	-	-	-	HD,HD_5
2148	GGP00194.1	1122611.KB903963_gene4872	5.19e-231	644.0	COG3437@1|root,COG3437@2|Bacteria,2I3K6@201174|Actinobacteria,4EH6F@85012|Streptosporangiales	Metal dependent phosphohydrolases with conserved 'HD' motif.	-	-	-	-	-	HD
2148	GGP00196.1	471852.Tcur_3702	1.75e-26	98.6	COG0511@1|root,COG0511@2|Bacteria,2I56V@201174|Actinobacteria	Biotin-lipoyl like	-	-	ko:K02160	ko00061,ko00620,ko00640,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,map00061,map00620,map00640,map00720,map01100,map01110,map01120,map01130,map01200,map01212	ko00000,ko00001,ko00002	Biotin_lipoyl
2148	GGP00199.1	2002.JOEQ01000048_gene7431	2.14e-55	176.0	COG5496@1|root,COG5496@2|Bacteria,2IKZP@201174|Actinobacteria,4EK67@85012|Streptosporangiales	Thioesterase superfamily	-	-	-	-	-	4HBT
2148	GGP00202.1	1122611.KB903963_gene4868	1.1e-166	489.0	COG0515@1|root,COG0515@2|Bacteria,2GMPZ@201174|Actinobacteria,4EGUD@85012|Streptosporangiales	Protein tyrosine kinase	-	-	ko:K08884,ko:K12132	-	ko00000,ko01000,ko01001	PASTA,Pkinase
